itemcode,itemname,,,,,,,
0,양배추영양식단,,,,,,,
1,탄두리샐러드,,,,,,,
2,코코넛쉬림프샐러드,,,,,,,
3,리코타병아리콩샐러드,,,,,,,
4,귀리캐슈넛샐러드,,,,,,,
8,꾸지뽕식단,,,,,,,
15,건강한 자장소스,,,,,,,
16,발효의힘 청국장 세트,,,,,,,
17,로제소스 버섯 닭볶음 세트,,,,,,,
18,컬러파워식단,,,,,,,
19,오리 향채소 불고기 세트,,,,,,,
20,멕시칸 타코 샐러드 세트,,,,,,,
21,문어 카르파쵸 샐러드 세트,,,,,,,
27,멕시칸타코샐러드,,,,,,,
29,포두부 새우 샐러드 세트,,,,,,,
30,구운버섯&새우샐러드,,,,,,,
31,통밀 돈까스,,,,,,,
32,송화버섯 낙지볶음,,,,,,,
33,닭다리살구이,,,,,,,
34,방풍나물&고구마 스프 (1인분),,,,,,,
35,토마토 견과 카레소스,,,,,,,
36,봄나물 오리볶음,,,,,,,
37,검은콩 캐슈넛 닭볶음 세트,,,,,,,
38,햄프씨드 연어구이 샐러드,,,,,,,
39,해초 전복죽 (1인분),,,,,,,
40,황태 귀리죽 (1인분),,,,,,,
43,소고기 다시마채 장조림,,,,,,,
45,해초식단,,,,,,,
47,비트 무화과 타히니 샐러드,,,,,,,
48,부드러운 닭가슴살 콥 샐러드,,,,,,,
51,문어 카르파쵸 샐러드,,,,,,,
53,인도식 견과 커리 세트,,,,,,,
54,당귀 제육볶음 세트,,,,,,,
55,지중해식 가자미구이 세트 ,,,,,,,
57,영양부추 잡채,,,,,,,
58,용안육 백태콩조림,,,,,,,
60,버섯 소불고기 쌈 세트,,,,,,,
63,오삼불고기,,,,,,,
64,용안육 건오징어조림,,,,,,,
65,유근피 녹두 삼계죽 (1인분),,,,,,,
66,유부 유산슬 세트,,,,,,,
67,비트 생깻잎지,,,,,,,
69,리코타 허브감자 샐러드,,,,,,,
71,스파이시 쉬림프 샐러드,,,,,,,
75,가쓰오 계란장조림,,,,,,,
76,낙지 김치죽 (1인분),,,,,,,
84,닭가슴살 콥샐러드 세트,,,,,,,
86,통밀 간장 닭강정,,,,,,,
87,고사리 소불고기 숙쌈 세트,,,,,,,
89,씨푸드 레몬 샐러드,,,,,,,
93,돼지감자 장아찌,,,,,,,
98,콜리플라워 치즈그라탕,,,,,,,
101,흑미 시트러스 샐러드 세트,,,,,,,
103,은이버섯 오리주물럭 세트,,,,,,,
106,구운채소 곡물 샐러드 세트,,,,,,,
107,꾸지뽕 닭볶음 세트,,,,,,,
109,버터구이 오징어 샐러드 세트,,,,,,,
112,미트 토마토 파스타,,,,,,,
115,모둠 해초볶음,,,,,,,
117,미역&조갯살 스프 (1인분),,,,,,,
120,탄두리 닭살 샐러드 세트,,,,,,,
122,버섯 아보카도 샐러드 세트,,,,,,,
123,송화버섯 낙지볶음 세트,,,,,,,
126,죽순 생강 소불고기 세트,,,,,,,
129,커리 치킨 샐러드,,,,,,,
133,소고기 숙주 부추볶음,,,,,,,
135,닭살 스테이크 샐러드 세트,,,,,,,
139,진피 레몬 드레싱,,,,,,,
140,구기자 간장 소스,,,,,,,
142,코코넛 새우 샐러드 세트,,,,,,,
145,리코타치즈 샐러드 세트,,,,,,,
146,쿠스쿠스 곡물 샐러드 세트,,,,,,,
154,노루궁뎅이버섯 스프 (1인분),,,,,,,
157,발사믹 비네거 드레싱 ,,,,,,,
163,버섯 불고기 샐러드 세트,,,,,,,
179,애호박 아마란스 새우볶음 ,,,,,,,
181,녹두부침개,,,,,,,
182,우엉 고기완자,,,,,,,
187,연자육 삼채 소불고기 세트,,,,,,,
188,스위트 바나나 드레싱,,,,,,,
201,궁중 곤약 탕평채,,,,,,,
205,스페인 세비체 샐러드 세트,,,,,,,
213,오리주물럭 쌈 세트 ,,,,,,,
222,모둠버섯 치킨 샐러드 세트,,,,,,,
240,모링가 돼지 된장찜 세트,,,,,,,
246, 아보카도&케일 스무디,,,,,,,
256,새우 아보카도 샐러드 세트,,,,,,,
257,모짜렐라 루꼴라 샐러드 세트,,,,,,,
261,미강 돼지 배추볶음 세트,,,,,,,
263,구운 가자미 라타투이 세트,,,,,,,
264,소고기 죽순 생강볶음 세트,,,,,,,
275,당귀 주꾸미볶음 세트,,,,,,,
276,아스파라거스 돼지불고기 세트,,,,,,,
280,건강한 자장소스 세트,,,,,,,
289,연자육 마라샹궈 세트,,,,,,,
290,당귀 닭볶음 세트,,,,,,,
292,시래기 돼지찜 세트,,,,,,,
293,구운버섯&새우샐러드 세트,,,,,,,
294,올리브 닭살 샐러드 세트,,,,,,,
308,흑미 시트러스 샐러드,,,,,,,
326,청국장 소스 삼치구이 세트,,,,,,,
329,꾸지뽕 갈치 조림 세트,,,,,,,
333,햄프씨드 연어 샐러드 세트,,,,,,,
338,소고기 샤브 샐러드 세트,,,,,,,
347,삼채 버섯볶음 세트,,,,,,,
353,과카몰리 새우 샐러드 세트,,,,,,,
356,구운채소 곡물 샐러드,,,,,,,
376,컬러파워 토마토카레 세트,,,,,,,
