itemcode,itemname,MainCategory,MiddleCategory,SubCategory
128671,양배추영양식단,아모레 정기식단,바이탈식단,바이탈식단
131871,탄두리샐러드,아모레 정기식단,뷰티식단,뷰티식단
139247,코코넛쉬림프샐러드,아모레 정기식단,뷰티식단,뷰티식단
149207,리코타병아리콩샐러드,아모레 정기식단,뷰티식단,뷰티식단
151148,귀리캐슈넛샐러드,아모레 정기식단,뷰티식단,뷰티식단
153040,꾸지뽕식단,아모레 정기식단,미당식단,미당식단
221094,건강한 자장소스,건강마켓,건강반찬,스페셜
221097,발효의힘 청국장 세트,케어식단,웰니스식단,웰니스식단
221098,로제소스 버섯 닭볶음 세트,케어식단,웰니스식단,웰니스식단
221101,컬러파워식단,아모레 정기식단,바이탈식단,바이탈식단
221102,오리 향채소 불고기 세트,케어식단,저당식단,저당식단
223583,멕시칸 타코 샐러드 세트,케어식단,라이트식단,라이트식단
223584,문어 카르파쵸 샐러드 세트,케어식단,라이트식단,라이트식단
225141,멕시칸타코샐러드,아모레 정기식단,뷰티식단,뷰티식단
225146,포두부 새우 샐러드 세트,케어식단,라이트식단,라이트식단
331003,구운버섯&새우샐러드,아모레 정기식단,뷰티식단,뷰티식단
331006,통밀 돈까스,건강마켓,건강반찬,스페셜
333866,송화버섯 낙지볶음,건강마켓,건강반찬,메인요리
333869,닭다리살구이,건강마켓,건강반찬,메인요리
340534,방풍나물&고구마 스프 (1인분),건강마켓,죽/스프,스프
340537,토마토 견과 카레소스,건강마켓,건강반찬,스페셜
343935,봄나물 오리볶음,건강마켓,건강반찬,메인요리
344698,검은콩 캐슈넛 닭볶음 세트,케어식단,저당식단,저당식단
345834,햄프씨드 연어구이 샐러드,건강마켓,샐러드,페스코/비건
346652,해초 전복죽 (1인분),건강마켓,죽/스프,죽
346665,황태 귀리죽 (1인분),건강마켓,죽/스프,죽
347791,소고기 다시마채 장조림,건강마켓,건강반찬,밑반찬
349330,해초식단,아모레 정기식단,미당식단,미당식단
349332,비트 무화과 타히니 샐러드,건강마켓,샐러드,350k
349381,부드러운 닭가슴살 콥 샐러드,건강마켓,샐러드,단백질
349386,문어 카르파쵸 샐러드,건강마켓,샐러드,페스코/비건
349740,인도식 견과 커리 세트,케어식단,저당식단,저당식단
352110,당귀 제육볶음 세트,케어식단,저당식단,저당식단
352364,지중해식 가자미구이 세트 ,케어식단,저당식단,저당식단
352415,영양부추 잡채,건강마켓,건강반찬,메인요리
355810,용안육 백태콩조림,건강마켓,건강반찬,밑반찬
357068,버섯 소불고기 쌈 세트,케어식단,웰니스식단,웰니스식단
358881,오삼불고기,건강마켓,건강반찬,밑반찬
369066,용안육 건오징어조림,건강마켓,건강반찬,밑반찬
369072,유근피 녹두 삼계죽 (1인분),건강마켓,죽/스프,죽
369105,유부 유산슬 세트,케어식단,웰니스식단,웰니스식단
369918,비트 생깻잎지,건강마켓,건강반찬,밑반찬
371267,리코타 허브감자 샐러드,건강마켓,샐러드,350k
372893,스파이시 쉬림프 샐러드,건강마켓,샐러드,단백질
373342,가쓰오 계란장조림,건강마켓,건강반찬,밑반찬
374689,낙지 김치죽 (1인분),건강마켓,죽/스프,죽
374775,닭가슴살 콥샐러드 세트,케어식단,라이트식단,라이트식단
375018,통밀 간장 닭강정,건강마켓,건강반찬,스페셜
375800,고사리 소불고기 숙쌈 세트,케어식단,저당식단,저당식단
376020,씨푸드 레몬 샐러드,건강마켓,샐러드,350k
376773,돼지감자 장아찌,건강마켓,건강반찬,밑반찬
380654,콜리플라워 치즈그라탕,건강마켓,건강반찬,스페셜
380671,흑미 시트러스 샐러드 세트,케어식단,라이트식단,라이트식단
380676,오리 향채소 불고기 세트,케어식단,웰니스식단,웰니스식단
380726,은이버섯 오리주물럭 세트,케어식단,웰니스식단,웰니스식단
380934,구운채소 곡물 샐러드 세트,케어식단,라이트식단,라이트식단
