itemcode,itemname
123123,양배추영양식단
123124,탄두리샐러드
123125,코코넛쉬림프샐러드
123126,리코타병아리콩샐러드
123127,귀리캐슈넛샐러드
123128,꾸지뽕식단
123129,건강한 자장소스
123130,발효의힘 청국장 세트
123131,로제소스 버섯 닭볶음 세트
123132,컬러파워식단
123133,오리 향채소 불고기 세트
123134,멕시칸 타코 샐러드 세트
123135,문어 카르파쵸 샐러드 세트
123136,멕시칸타코샐러드
123137,포두부 새우 샐러드 세트
123138,구운버섯&새우샐러드
123139,통밀 돈까스
123140,송화버섯 낙지볶음
123141,닭다리살구이
123142,방풍나물&고구마 스프 (1인분)
123143,토마토 견과 카레소스
123144,봄나물 오리볶음
123145,검은콩 캐슈넛 닭볶음 세트
123146,햄프씨드 연어구이 샐러드
123147,해초 전복죽 (1인분)
123148,황태 귀리죽 (1인분)
123149,소고기 다시마채 장조림
123150,해초식단
123151,비트 무화과 타히니 샐러드
123152,부드러운 닭가슴살 콥 샐러드
123153,문어 카르파쵸 샐러드
123154,인도식 견과 커리 세트
123155,당귀 제육볶음 세트
123156,지중해식 가자미구이 세트 
123157,영양부추 잡채
123158,용안육 백태콩조림
123159,버섯 소불고기 쌈 세트
123160,오삼불고기
123161,용안육 건오징어조림
123162,유근피 녹두 삼계죽 (1인분)
123163,유부 유산슬 세트
123164,비트 생깻잎지
123165,리코타 허브감자 샐러드
123166,스파이시 쉬림프 샐러드
123167,가쓰오 계란장조림
123168,낙지 김치죽 (1인분)
123169,닭가슴살 콥샐러드 세트
123170,통밀 간장 닭강정
123171,고사리 소불고기 숙쌈 세트
123172,씨푸드 레몬 샐러드
123173,돼지감자 장아찌
123174,콜리플라워 치즈그라탕
123175,흑미 시트러스 샐러드 세트
123176,은이버섯 오리주물럭 세트
123177,구운채소 곡물 샐러드 세트
123178,꾸지뽕 닭볶음 세트
123179,버터구이 오징어 샐러드 세트
123180,미트 토마토 파스타
123181,모둠 해초볶음
123182,미역&조갯살 스프 (1인분)
123183,탄두리 닭살 샐러드 세트
123184,버섯 아보카도 샐러드 세트
123185,송화버섯 낙지볶음 세트
123186,죽순 생강 소불고기 세트
123187,커리 치킨 샐러드
123188,소고기 숙주 부추볶음
123189,닭살 스테이크 샐러드 세트
123190,진피 레몬 드레싱
123191,구기자 간장 소스
123192,코코넛 새우 샐러드 세트
123193,리코타치즈 샐러드 세트
123194,쿠스쿠스 곡물 샐러드 세트
123195,노루궁뎅이버섯 스프 (1인분)
123196,발사믹 비네거 드레싱 
