item_name,greating_review,result,probability
매운 해물죽 (1인분),"입맛 까다로운 신랑이 맛보고 혼자 홀딱 다먹어서 저는 맛을 못봤지만 .. 너무 맛있다고해요. 

또 주문해서 저도 맛봐야겠어요 ㅎㅎ",긍정,96.0
매운 해물죽 (1인분),"7분돌렸는데 안에 덜 녹은..8~9분은 돌려야할듯요ㅜ
근데 안에 내용물은 엄청 실하네요
맛있어요^^",중립,75.3
매운 해물죽 (1인분),식후대용으로 매콤하니  간편하고 맛있어요 약간 짠거 같아요,긍정,98.2
매운 해물죽 (1인분),"신선한 해물 가득~얼큰한 짬뽕맛도 좋아요^^
간단히 와인 안주로도 좋아요^^",긍정,99.9
매운 해물죽 (1인분),"매운해물죽이 더 나은거 같아요
뭔가 재료도 풍서한거 같고
진한맛이 나네요",중립,68.6
매운 해물죽 (1인분),"느끼하지않아 좋아요.
해물이 들어있고 매콤해서 맛있었어요.",긍정,99.6
매운 해물죽 (1인분),"원래 매운 낙지같은 걸 좋아하시는 입맛이신데 이건 드셔보시더니
바로 카톡으로 맛있다/잘먹었다 말씀을 해주시네요. ",중립,75.7
매운 해물죽 (1인분),"칼칼매콤하니 뒷맛이 너무 깔끔해요
씹히는 맛도 일품입니다",긍정,98.4
매운 해물죽 (1인분),"맛은 있지만 건강한 맛은 아니네요 양이 좀 적기도 해요
가끔 별식으로 먹기에 괜찮을 것 같아요",긍정,97.4
매운 해물죽 (1인분),"요즘 부모님 입맛이 없으시다고해서 선물로 죽 여러개 보내드렸어요~ 매울까봐 걱정했는데, 맛있게 매콤하다고 하시네요~",긍정,99.1
매운 해물죽 (1인분),"계속 생각나는......그런 맛이네요.
ㅎㅎㅎ
또 시켜먹어요 ㅎㅎ...ㅎㅎ",긍정,96.5
매운 해물죽 (1인분),"매운해물죽 당연히 맛있겠죠~
낙지김치죽도 맛있으니깐요
기대됩니다",긍정,97.4
매운 해물죽 (1인분),"그동안 본죽만 먹다가 
그리팅와서 죽을 봤는데..

다양하네요~ 
매운 해물죽도 넘 맛있네요~
해장에 딱입니다. ",긍정,96.5
매운 해물죽 (1인분),매콤하고 해물죽이라 가끔 속푠하게먹기좋네요 배송도빨라여 ㅎㅎ맛나여,긍정,99.4
매운 해물죽 (1인분),"일인분이라 내용물이 좀 적네요. 
맛있으나 좀 짰어요. ",긍정,92.4
매운 해물죽 (1인분),"깔끔하고 맛있네요
맵지？ 이른들이 먹기는 딱 좋네오
바쁘거나 아식이  그리울때 적당한 칼로리가 좋구요.",긍정,98.7
매운 해물죽 (1인분),"해물죽 좀 매콤해용 그런데 맛있게 매워서 좋아요
ㅎㅎ다른죽도 한번 맛봐야겠어용",긍정,97.7
매운 해물죽 (1인분),스트레스 받는날은  ...폭식하기 쉬운데 매운죽으로 식사하면서 화를 달래니 풀리네요,긍정,92.1
매운 해물죽 (1인분),매콤한 해물죽 기대됩니다  평이 조아서 구매했는데 포자상태는 굳입니다,긍정,92.2
매운 해물죽 (1인분),"어머님시켜드렸는데 이 죽을 가장 좋아하세요
다른 죽도 맛있지만 이게 제일 맛있으신가봐요!!!!!!!!!!!!!!",긍정,94.4
매운 해물죽 (1인분),맵지않고 순한 짬뽕맛입니다. 양이 많진 않고 출출할때 먹기 좋아요ㅎ  ,긍정,99.4
매운 해물죽 (1인분),"매운맛을 좋아해서 시킨 죽이었는데 그런 저에게는
조금 아쉬운 죽이었습니다~ 하지만 반대로 너무 자극적인 것을
선호하지 않는 분들에게는 최고의 죽일 것 같습니다!",긍정,80.2
매운 해물죽 (1인분),엄청 매울 줄 알았는데 부드럽게 매워요. 약간 달큰한 맛도 있어서 속 편하게 먹을 수 있었어요.,긍정,88.2
매운 해물죽 (1인분),살짝 매콤하고 해물이 많이 씹힙니다. 아이들도 좋아하는 짬뽕맛이라서 양이 좀 아쉬울 정도였어요. 잘 먹었습니다.,긍정,98.5
매운 해물죽 (1인분),"입맛 없을 때, 간단하게 먹을 수 있어서 좋아요. 좀 더 매콤해도 좋을 듯 해요.",긍정,99.6
매운 해물죽 (1인분),괜찮아요 데워먹기도 간편하고 양이 좀 적긴 한데 좋습니다.,긍정,99.5
매운 해물죽 (1인분),냉동상태로 전자레인지 돌리니 중심부가 차갑고 가장자리는 끓어서 냄비에 옮겨 데웠어요,긍정,92.2
매운 해물죽 (1인분),"생각 이상으로 맛있네요 
깔끔하고 !!!!
가끔 새로운 거 시도해보면 좋은 거 같아요",긍정,99.9
매운 해물죽 (1인분),약간 매콤하면서 쫄깃한 맛이 나서 댕깁니다. 쫄깃한 맛은 오징어인 듯 한데 입맛 없을 때 괜찮습니다,긍정,81.7
매운 해물죽 (1인분),입맛 없을 때 간편하게 먹기 너무 좋아요 맛있게 매콤해서 식욕이 돋게 합니다,긍정,99.3
매운 해물죽 (1인분),적당히 매콤했는데 소화기 환자인 어머니는 조금 부담되나봐요. ,긍정,98.4
매운 해물죽 (1인분),최애죽입니다~~ 살짝 매콤해서 입맛좋아져요~~감사합니다,긍정,98.9
