itemname,contents
양배추영양식단,"그냥편하게는먹을수있는데입맛에맞지는않네요ㅜㅜ
별로였어요.초딩아이랑같이먹었는데맛이너무없다고
쌈장만.안짜서좋았고.전체적으로간이약해서그런지별로였어요"
탄두리샐러드,"탄두리 샐러드는  닭고기가 들어간 샐러드이며 약간 
닭냄새가  나서  조금  맛이   별로였다"
코코넛쉬림프샐러드,"야채도  깔끔하고  푸침하고 맛도 상큼하며
아들이  또  기다려 진답니다
런칭이  뒤로 미루어져  아쉽습니다"
리코타병아리콩샐러드,"주문과 동시에 빠른 배송  완벽한 포장 너무 맘에 들었습니다 그리고 개봉후 샐러드 너무 맛있게 먹었습니다
특히 리코타 병아리콩샐러드 제 입맛에 딱 좋았습니다  뷰티,미당,바이탈 주변에 소문 많이 내고 싶은 식단들 입니다 "
귀리캐슈넛샐러드,"든든한 한끼
맛있는.한끼가.되는게.넘넘 신기 합니다!!!!"
리코타병아리콩샐러드,"든든한 한끼
맛있는.한끼가.되는게.넘넘 신기 합니다!!!!"
탄두리샐러드,"든든한 한끼
맛있는.한끼가.되는게.넘넘 신기 합니다!!!!"
코코넛쉬림프샐러드,"든든한 한끼
맛있는.한끼가.되는게.넘넘 신기 합니다!!!!"
꾸지뽕식단,"저염에 간이 싱겁다고합니다
그러나
신선도 좋다고하고
금액이 8천원대면 좋겠다하셨고
양은 조금부족하다는 후기말씀하시네요"
꾸지뽕식단,"저염에 간이 싱겁다고합니다
그러나
신선도 좋다고하고
금액이 8천원대면 좋겠다하셨고
양은 조금부족하다는 후기말씀하시네요"
귀리캐슈넛샐러드,평소에도 다욧을 위해 채소와 과일 닭가슴살을 애용하는 일인인데 부지런한 편이라 바로바로 장을 보면 정리를 해놓아 버리는 것들이 없지만 굉장히 번거롭고 수고스러웠는데 세상 참 살기 편해진듯~ㅎㅎ
리코타병아리콩샐러드,평소에도 다욧을 위해 채소와 과일 닭가슴살을 애용하는 일인인데 부지런한 편이라 바로바로 장을 보면 정리를 해놓아 버리는 것들이 없지만 굉장히 번거롭고 수고스러웠는데 세상 참 살기 편해진듯~ㅎㅎ
탄두리샐러드,평소에도 다욧을 위해 채소와 과일 닭가슴살을 애용하는 일인인데 부지런한 편이라 바로바로 장을 보면 정리를 해놓아 버리는 것들이 없지만 굉장히 번거롭고 수고스러웠는데 세상 참 살기 편해진듯~ㅎㅎ
코코넛쉬림프샐러드,평소에도 다욧을 위해 채소와 과일 닭가슴살을 애용하는 일인인데 부지런한 편이라 바로바로 장을 보면 정리를 해놓아 버리는 것들이 없지만 굉장히 번거롭고 수고스러웠는데 세상 참 살기 편해진듯~ㅎㅎ
탄두리샐러드,"한팩으로 두사람이 먹으니까 딱 좋았어요.^^
맛도 좋았고
색감도 이쁘고
쏘스도 다양해서 종종 이용하고 싶어져요"
건강한 자장소스,"된장으로 만들었다는 설명에 살짝 두려웠지만 보통의 짜장소스맛에 재료는 건강하니 안심하고 먹었습니다
 달걀  프라이 구워 얹으니 아이가 잘 먹네요~ 
소스의 양은 이인분정도 되었구요"
발효의힘 청국장 세트," 요렇게 밥에  얹어 먹는 소보로 느낌으로 짜지않고 고소하게 요리된건 정말 처음이었어요 청구장을 싫어하는 아들도 밥에 얹어서 잘 먹었습니다~동봉된 들기름을 뿌려먹으니 식단이  더욱 건강해지는 느낌입니다 
다만 삼치구이는 살짝 비린듯 했어요~
청국장은 별도 반찬으로 판매하심 김에도 싸먹고 고기랑도 먹고 활용이 좋을듯합니다"
로제소스 버섯 닭볶음 세트,파스타로 먹는 로제  소스를 이용한 치킨이라 아들이 잘 먹네요~ 흔한 한식 메뉴가 아닌 이런 요즘 입맛에  맞춘 반찬 구성이  참 맘에  듭니다 
컬러파워식단,평소접하기어러웠던식재료들이라서놀랐다쉽게구입하기어려웠던신선한야채샐러들을섭취할수있어넘좋았다드래싱또한색다른맛으로샐러드에맛을더업시켜주었다
오리 향채소 불고기 세트,"다 맛있었는데

무엇보다 샐러드가 너무 신선해서 놀랬어요!"
멕시칸 타코 샐러드 세트,"샐러드가 이렇게 맛있어도 되나 싶을정도 입니다.
특히 시중에 샐러드 종류는 저렴한 양상추, 양배추 중심이라
좀 아쉬웠는데 그리팅 샐러드는 완전 고퀄이네요~!!
또 주문하고 싶습니다.

샐러드만 먹어도 든든한 한끼
추천합니다."
문어 카르파쵸 샐러드 세트,"카르파쵸를 샐러드 배송에서 먹게 될 줄은 몰랐네요. 재료들도 너무 신선하고, 문어도 질길 줄 알았는데 전혀 그렇지 않고 소스까지 너무 맛있네요. 남편이 샐러드보다 고기 좋아해서 걱정했는데, 매일 아침마다 다양한 샐러드가 나오니까 살찔 염려 안해도 될 것 같아요. "
멕시칸 타코 샐러드 세트,"타코샐러드를 좋아해서 구매했습니다.
빵이랑 분홍색 소스를 보고 맛이 없어보였는데.
포장된 소스를 뜯어서 소스를 야무지게 섞고 
빵이랑 샐러드랑 분홍소스와 먹었더니 
멕시코음식점에서 먹어본 타코맛 그대로였습니다.
보기와 다르게 완전 맛있음 타코맛.. 진심ㅎㅎ
아보카도 초록색 소스도 있었으면 더 좋았을걸 하는 아쉬움이있습니다만.. 맛은 진짜 완전 맛있음.."
귀리캐슈넛샐러드,"전체적으로 야채신선도가 최고예요
신랑도 같이 먹어서 너무 좋았고요
맛도 있으니 인기 최고였어요!! 
다 같이 먹으니 한끼에 두팩 거뜬해요ㅎㅎ
너무 맛이 있어서 금방 먹게 되니 
조금 가격대가 부담은 됩니다~^^"
리코타병아리콩샐러드,"전체적으로 야채신선도가 최고예요
신랑도 같이 먹어서 너무 좋았고요
맛도 있으니 인기 최고였어요!! 
다 같이 먹으니 한끼에 두팩 거뜬해요ㅎㅎ
너무 맛이 있어서 금방 먹게 되니 
조금 가격대가 부담은 됩니다~^^"
탄두리샐러드,"전체적으로 야채신선도가 최고예요
신랑도 같이 먹어서 너무 좋았고요
맛도 있으니 인기 최고였어요!! 
다 같이 먹으니 한끼에 두팩 거뜬해요ㅎㅎ
너무 맛이 있어서 금방 먹게 되니 
조금 가격대가 부담은 됩니다~^^"
코코넛쉬림프샐러드,"전체적으로 야채신선도가 최고예요
신랑도 같이 먹어서 너무 좋았고요
맛도 있으니 인기 최고였어요!! 
다 같이 먹으니 한끼에 두팩 거뜬해요ㅎㅎ
너무 맛이 있어서 금방 먹게 되니 
조금 가격대가 부담은 됩니다~^^"
멕시칸타코샐러드,2월14일 제품을 못 받았어요 어떻게 연락드려야 되는지요 연락주세요
리코타병아리콩샐러드,2월14일 제품을 못 받았어요 어떻게 연락드려야 되는지요 연락주세요
포두부 새우 샐러드 세트,"타사대비 양이 정말 많습니다.
다른곳은 대략 180~250g사이인데
그리팅 샐러드는 정말 샐러드만 먹어도 배가 부르내요 ㅎ

물론 칼로리가 높은 단점이 있지만...
그래도 맛있고 야채많이 먹는다는 점이
좋은것 같습니다. ㅎ

포두부도 맛나고 특히 당근반찬이 정말 맛있었어요
당근원래 싫어하는데;;."
구운버섯&새우샐러드,드레싱때문은 ㅇㅏ니고 버섯이랑 새우가 좀 짜요 간이 더 약해도 될것같아요
통밀 돈까스,"아기가 있어서 아기 반찬겸 돈까스 자주 먹는데
먹으면서 건강해지는 느낌적인 느낌!
튀김옷이 뭔가 기름지지 않고 
아기도 다른 반찬 안먹고 돈까스만 흡입하네요 ㅎㅎ
가족들 다 맛있게 먹었어요^^"
송화버섯 낙지볶음,"낙지볶음 밖에서 자주 먹는데 
양념 하나로 성공과 실패로 나눠지곤 해서
시험삼아 먹어봤는데 정말 정말 넘넘 맛있어요!!!
적당히 매콤하면서 입에 착착 감기네요 ㅎㅎ
소스가 충분히 있어서 다 먹고 밥 비벼먹어도 됩니다
담에 추가 주문 하려구여~!! "
닭다리살구이,"닭다리살이 부드럽고 양념도 32갤 아기가 잘 먹을만큼 
맛있게 되어있어서 가족들 다같이 너무 맛있게 먹었습니다! 
재구매 의사 100000프로 입니다~!"
방풍나물&고구마 스프 (1인분),"방풍나물이라니 그냥 먹으라면 절대 싫은데
이렇게 고소한 ？으로 만들다니 너무 좋아요 ㅜㅜ
원래 고구마스프는 왠지 모르게 죄책감드는데
이렇게 만들어 주니까 죄책감도 없고 건강해지는 기분!"
토마토 견과 카레소스,"아 이거 진짜 맛있어요
고소하면서 상큼하니 밥 비벼도 맛있고
파스타나 오믈렛 소스로도 딱임 존맛탱ㅜㅜ"
봄나물 오리볶음,"나물 싫어하는 편이었는데
뭔가 되게 고소하고 맛있네요
"
검은콩 캐슈넛 닭볶음 세트,"맛있게 잘먹었습니다!
구성도 좋고 건강해지는것 같습니다."
햄프씨드 연어구이 샐러드,방금 만든것처럼 재료들이 너무 신선하네요.건강해지는 맛~다른 샐러드도 주문해 봐야겠어요
해초 전복죽 (1인분),"죽 양 자체가 작지만 ㅜㅜ재료들은 알맞게 채워진듯하네요.
죽 너무 맛있어요 ㅠㅠ"
황태 귀리죽 (1인분),"귀리가 씹히는 식감도 너무 좋고
황태도 잘 들어가있고 부드러워요.
간도 좀 쎈건가하는데 약한것보다
훨씬 맛있어요!!정말 맛나용!!"
송화버섯 낙지볶음,송화버섯 양이 많아 먹으면서 건강한 맛을 느꼈습니다. 약간 심심한듯 간은 좋았으나 좀더 매콤하면서 약간의 불맛이 나면 더 맛있을꺼 같습니다.
해초 전복죽 (1인분),기대보다 전복이 많이 들어있네요. 간도 딱맞아서 먹기 좋았습니다. 대신 양이 좀 적어서 아쉬웠습니다.
소고기 다시마채 장조림,우선 고기양이 많아 만족스러웠습니다. 짜지않고 간이 딱 좋으며 고기가 부드럽고 다시마채와 같이 먹어 식감이 좋았습니다.
해초 전복죽 (1인분),"초딩아이가 혼자 데워먹을수 있어 좋고 
아이가 들기름이랑 같이 해서 먹으니 고소하고 씹히는것도 있어서
맛있고 좋다고 하네요^^"
해초식단,"배송상태, 포장상태 다 좋은데？뷰티식단체험팩 먹어보고 나서 너무 좋다고 미당식단 체험팩 주문했는데 전자렌지에 데웠는되두 생선에서 비린내가 많이 난다고 고객한테 연락왔네요"
황태 귀리죽 (1인분),"냉동에 6분이나 데워야하는 번거로움에도 불구하고, 같이 동봉된 냉압착 들기름부터 좀 감동이였습니다. 시중에 판매되는 죽은 가격은 저렴하나 조미료가 많이 들어간 듯 해서 꺼려졌는데, 좋은식재가 들어가서 그런지 맛은 덩달아 오네요~ 황태가 딱딱할텐데 생각보다 부드러워 놀랐습니다. 영양 간편식으로 딱인 것 같아요! 재구매 의향 있습니다~!!"
비트 무화과 타히니 샐러드,"음식 딱히 가리지 않는 타입이라
먹을만 했습니다.
체중감량용이라 그런지 포만감은 좀 부족하네요"
